Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,10.890000,10.900000,10.400000,10.470000,10.454329,79949500
2021-01-05,10.430000,10.880000,10.420000,10.770000,10.753881,83700300
2021-01-06,10.830000,11.620000,10.830000,11.360000,11.342996,131584600
2021-01-07,11.560000,11.570000,11.240000,11.270000,11.253132,75289800
2021-01-08,11.290000,11.440000,11.160000,11.340000,11.323027,72719700
2021-01-11,11.110000,11.530000,11.060000,11.450000,11.432862,67253600
2021-01-12,11.510000,11.910000,11.410000,11.780000,11.762368,91439300
2021-01-13,11.780000,11.820000,11.520000,11.570000,11.552682,53713600
2021-01-14,11.610000,11.730000,11.580000,11.660000,11.642547,59209500
2021-01-15,11.600000,11.600000,11.250000,11.330000,11.313041,73609500
2021-01-19,11.480000,11.650000,11.400000,11.430000,11.412892,63499400
2021-01-20,11.500000,11.500000,11.300000,11.390000,11.372952,59015900
2021-01-21,11.400000,11.430000,11.070000,11.070000,11.053431,65602700
2021-01-22,10.970000,11.180000,10.900000,11.110000,11.093370,52919400
2021-01-25,11.140000,11.150000,10.770000,10.990000,10.973550,92020900
2021-01-26,12.030000,12.230000,11.200000,11.290000,11.273101,211803400
2021-01-27,11.080000,11.560000,10.640000,11.380000,11.362967,149439900
2021-01-28,11.410000,11.470000,11.070000,11.090000,11.073401,94099300
2021-01-29,11.000000,11.240000,10.670000,10.680000,10.664015,109258800
2021-02-01,10.860000,11.000000,10.640000,10.740000,10.723925,66685800
2021-02-02,10.880000,11.350000,10.840000,11.240000,11.223176,84465900
2021-02-03,11.240000,11.300000,11.070000,11.200000,11.183236,54214800
2021-02-04,11.230000,11.500000,11.190000,11.450000,11.432862,66767800
2021-02-05,11.510000,11.550000,11.320000,11.400000,11.382936,51818400
2021-02-08,11.470000,11.650000,11.410000,11.610000,11.592622,42454500
2021-02-09,11.560000,11.600000,11.410000,11.540000,11.522727,52738300
2021-02-10,11.590000,11.590000,11.380000,11.400000,11.382936,45559900
2021-02-11,11.390000,11.470000,11.190000,11.460000,11.442847,51829200
2021-02-12,11.410000,11.740000,11.380000,11.730000,11.712442,58439700
2021-02-16,11.820000,11.980000,11.780000,11.970000,11.952084,60312000
2021-02-17,11.840000,11.950000,11.760000,11.860000,11.842248,42940100
2021-02-18,11.840000,11.860000,11.510000,11.630000,11.612593,48854600
2021-02-19,11.720000,12.030000,11.680000,12.020000,12.002009,61049000
2021-02-22,12.070000,12.700000,12.030000,12.500000,12.481290,96636300
2021-02-23,12.600000,12.650000,12.180000,12.590000,12.571156,72042500
2021-02-24,12.800000,13.350000,12.650000,13.120000,13.100362,106791000
2021-02-25,13.100000,13.270000,12.660000,12.760000,12.740902,92337300
2021-02-26,12.680000,12.840000,12.410000,12.540000,12.521230,88729800
2021-03-01,12.920000,13.290000,12.790000,13.110000,13.090377,78037600
2021-03-02,13.150000,13.250000,12.970000,12.980000,12.960572,77205400
2021-03-03,13.090000,13.620000,13.050000,13.440000,13.419883,117572300
2021-03-04,13.880000,14.130000,13.180000,13.570000,13.549689,166561700
2021-03-05,13.800000,13.810000,13.140000,13.600000,13.589659,104975500
2021-03-08,14.210000,14.340000,13.810000,14.170000,14.159225,143717600
2021-03-09,14.100000,14.420000,13.830000,14.000000,13.989354,114467700
2021-03-10,13.650000,13.740000,12.920000,13.250000,13.239924,220230400
2021-03-11,12.690000,12.860000,11.950000,12.270000,12.260670,305805300
2021-03-12,12.240000,12.620000,12.230000,12.580000,12.570434,134551900
2021-03-15,12.740000,13.360000,12.730000,13.350000,13.339849,111402500
2021-03-16,13.330000,13.350000,13.070000,13.150000,13.140000,74456200
2021-03-17,13.200000,13.610000,13.130000,13.610000,13.599650,79227100
2021-03-18,13.590000,13.690000,13.190000,13.250000,13.239924,63761100
2021-03-19,13.200000,13.350000,12.980000,13.220000,13.209948,68472000
2021-03-22,13.160000,13.240000,12.930000,13.130000,13.120015,52789100
2021-03-23,12.960000,13.180000,12.550000,12.660000,12.650373,65655100
2021-03-24,12.760000,13.020000,12.500000,12.500000,12.490495,62073500
2021-03-25,12.400000,12.930000,12.230000,12.850000,12.840229,73391900
2021-03-26,12.950000,13.130000,12.710000,12.990000,12.980122,60524700
2021-03-29,12.920000,13.050000,12.780000,12.950000,12.940152,53762900
2021-03-30,12.980000,13.360000,12.900000,13.300000,13.289886,52925100
2021-03-31,13.380000,13.430000,13.130000,13.130000,13.120015,62586000
2021-04-01,13.230000,13.360000,13.150000,13.280000,13.269901,59183800
2021-04-05,13.470000,13.570000,13.370000,13.460000,13.449764,50738900
2021-04-06,13.460000,13.500000,13.370000,13.400000,13.389810,40052200
2021-04-07,13.400000,13.530000,13.260000,13.390000,13.379818,41765400
2021-04-08,13.260000,13.500000,13.090000,13.450000,13.439772,54919000
2021-04-09,13.500000,13.830000,13.420000,13.600000,13.589659,63246000
2021-04-12,13.610000,13.680000,13.470000,13.590000,13.579666,42077000
2021-04-13,13.510000,13.540000,13.260000,13.440000,13.429779,51223800
2021-04-14,13.430000,13.790000,13.420000,13.680000,13.669598,64639000
2021-04-15,13.730000,13.750000,13.440000,13.550000,13.539697,50881800
2021-04-16,13.630000,13.680000,13.350000,13.390000,13.379818,50024400
2021-04-19,13.320000,13.470000,13.170000,13.460000,13.449764,44875800
2021-04-20,13.410000,13.410000,12.900000,13.060000,13.050069,61456700
2021-04-21,12.930000,13.380000,12.770000,13.350000,13.339849,49608100
2021-04-22,13.350000,13.680000,13.280000,13.410000,13.399802,52607800
2021-04-23,13.500000,13.610000,13.360000,13.550000,13.539697,46638100
2021-04-26,13.630000,14.000000,13.550000,13.570000,13.559681,93778900
2021-04-27,13.500000,13.540000,12.910000,13.490000,13.479741,149775000
2021-04-28,13.330000,13.350000,13.150000,13.200000,13.189962,66095400
2021-04-29,13.180000,13.290000,13.080000,13.210000,13.199955,55157600
